"title_name","title_price","title_sub_title","title_mileage","title_year","title_engine_l","title_engine_type","title_localization_1","title_localization_2","title_negotiable"
"Audi A4 Avant","7 600","Audi A4 1.9tdi 115KM, 2001r DOINWESTOWANE","350 000 km","2001","1 896 cm3","Diesel","Rzeszów","(Podkarpackie)","Do negocjacji"
"Škoda Superb","190 500","Superb Laurin &amp; Klement Leasing do przejęcia","2 950 km","2020","Diesel","","Konstancin-Jeziorna","(Mazowieckie)","Faktura VAT"
"Nissan Micra 1.5","4 400","sprzedam nissan micra","212 800 km","2003","1 461 cm3","Diesel","Leszno","(Wielkopolskie)","Do negocjacji"
"Škoda Fabia 1.2","34 900","1,2 TSI 90KM Ambition, LPG GAZ, Salon Polska, Gwarancja","82 774 km","2017","1 197 cm3","Benzyna+LPG","Starowa Góra","(Łódzkie)","Faktura VAT"
"Fiat Panda","9 800","Fiat PANDA 1.1 zadbana salon PL","37 200 km","2008","1 108 cm3","Benzyna","Swarzędz","(Wielkopolskie)","Do negocjacji"
"Toyota Corolla","2 590","Salon Polska","218 258 km","1998","1 332 cm3","Benzyna","Poznań","(Wielkopolskie)",""
"Volvo C70 2.0D","27 900","Volvo C70 2.0D","115 072 km","2008","1 997 cm3","Diesel","Piaseczno","(Mazowieckie)","Do negocjacji"
"Citroën Xsara Picasso 1.6","10 500","Sprzedam Xsarę Picasso","75 000 km","2006","1 587 cm3","Benzyna","Białystok","(Podlaskie)","Do negocjacji"
"Toyota RAV4","141 900","2.5 Hybrid Comfort 4x2 + Style","14 km","2020","2 487 cm3","Hybryda","Warszawa","(Mazowieckie)","Faktura VAT"
"Hyundai i20","28 499","WX84957 # 1.1 CRDi Classic + # 75KM #","64 755 km","2015","1 100 cm3","Diesel","Wrocław","(Dolnośląskie)","Faktura VAT"
"Opel Insignia 2.8","59 900","2,8 325KM*OPC*NAVI*4x4*Recaro*Xenon*Automat*Serwisowana*","98 600 km","2011","2 792 cm3","Benzyna","Siemianowice Śląskie","(Śląskie)","Do negocjacji"
"Ford Mondeo","129 900","2.0 190KM.VIGNALE. .Automat 8 stopniowy.Od Dealera","11 500 km","2019","2 000 cm3","Diesel","Częstochowa","(Śląskie)","Faktura VAT"
"Ford Focus","54 900","1.5 95KM .Pakiet Gold. Od Dealera. Gwarancja","21 045 km","2018","1 500 cm3","Diesel","Częstochowa","(Śląskie)","Faktura VAT"
"Fiat Panda","9 000","Fiat Panda","61 000 km","2010","1 108 cm3","Benzyna","Miechów","(Małopolskie)","Do negocjacji"
"Kia Ceed","29 900","1.4 CRDI Mały Przebieg !! LIFT // LED !!","99 000 km","2014","1 396 cm3","Diesel","Limanowa","(Małopolskie)","Do negocjacji"
"Hyundai i10 II","32 500","","11 000 km","2017","Benzyna","","Raszyn","(Mazowieckie)",""
"Mercedes-Benz Klasa C AMG","175 000","Mercedes C43 amg BLACK EDITION","71 000 km","2016","2 996 cm3","Benzyna","Gdańsk","(Pomorskie)","Faktura VAT"
"Mercedes-Benz Klasa S 350","19 800","RARYTAS. Zakup Klasyka to teraz lepsza INWESTYCJA jak Lokata w Banku.","247 000 km","1994","3 449 cm3","Diesel","Rataje","(Wielkopolskie)","Do negocjacji"
"Volkswagen Polo 1.2","34 900","Volkswagen Polo V Facelifting 1.2 TSI Highline","70 400 km","2014","1 197 cm3","Benzyna","Warszawa","(Mazowieckie)",""
"Opel Zafira 1.7","13 400","1.7 125 Km NISKI przebieg 176 tyś km ZADBANA","176 000 km","2008","1 686 cm3","Diesel","Mogilno","(Kujawsko-pomorskie)","Do negocjacji"
"Opel Corsa","2 999","super stan techniczny!opłacona gotowa do rejestracji!","139 000 km","2003","1 364 cm3","Benzyna","Stepnica","(Zachodniopomorskie)","Do negocjacji"
"Volkswagen CC","39 900","Skóra/ DSG/ 2.0 TDI /","127 000 km","2013","1 995 cm3","Diesel","Częstochowa","(Śląskie)",""
"Volkswagen Golf Sportsvan VII","51 900","1.4TSI 125PS DSG + Navi + Xenon / Tylko 29 000 km !! AUTO BIJAK !!","29 000 km","2018","1 395 cm3","Benzyna","Kłodzko","(Dolnośląskie)","Do negocjacji"
"Škoda Karoq 1.6","74 999","1.6 TDI 115 KM Ambition + Pakiet COMFORT *Salon Polska *GWARANCJA!","23 465 km","2019","1 598 cm3","Diesel","Wrocław","(Dolnośląskie)","Do negocjacji, Faktura VAT"
"Audi A4 2.0","29 900","2.0 Diesel#120KM#Sprawna klimatyzacja#Super stan!!","159 768 km","2010","1 968 cm3","Diesel","Warszawa","(Mazowieckie)","Do negocjacji"
"Audi A4 Avant","25 000","Audi b7 QUATRRO 2x S line","273 000 km","2007","1 968 cm3","Diesel","Wielbark","(Warmińsko-mazurskie)","Do negocjacji"
"Saab 9-5","11 000","SAAB 9 5 KOMBI 1.9 automat","400 000 km","2007","1 910 cm3","Diesel","Gdynia","(Pomorskie)","Do negocjacji"
"Seat Leon 1.2","54 900","Seat Leon 1.2 TSI Copa 110KM, Serwis ASO,1 Właściciel, Polski Salon","50 818 km","2018","1 197 cm3","Benzyna","Dąbrowa Górnicza","(Śląskie)","Do negocjacji, Faktura VAT"
"Renault Laguna II","2 800","GAZ ,klima , wspomaganie, poduszki, cena do uzgodnienia","287 000 km","2001","1 783 cm3","Benzyna+LPG","Chorzów","(Śląskie)","Do negocjacji"
"Citroën C4 Grand Picasso Gr","42 800","Citroen C4 Grand Picasso","97 000 km","2015","1 560 cm3","Diesel","Turek","(Wielkopolskie)","Do negocjacji"
"Audi A4 2.0","89 900","* 2.0 TDI 150KM S Tronic, LED, Klimatronik Salon PL F VAT23%","97 947 km","2017","1 968 cm3","Diesel","Jawczyce","(Mazowieckie)","Faktura VAT"
"Volkswagen Passat","47 000","","90 000 km","2014","2 000 cm3","Diesel","Środa Wielkopolska","(Wielkopolskie)","Do negocjacji"
"Audi A5","53 000","Audi A5 2.0 Tdi 177ps przebieg 120 LIFT xse ledy navi Sportback S Line","120 000 km","2013","2 000 cm3","Diesel","Leszno","(Wielkopolskie)","Do negocjacji"
"Volkswagen Golf","7 300","Volkswagen Golf IV 1,9 TDI 130 KM","300 000 km","2001","1 896 cm3","Diesel","Jazowsko","(Małopolskie)","Do negocjacji"
"Mercedes-Benz CLA 220","169 900","220 Coupe 190KM AMG 4matic! SalonPL FV23% 1WŁ! Bogate Wyposażenie!","4 000 km","2020","1 991 cm3","Benzyna","Warszawa","(Mazowieckie)","Faktura VAT"
"Volkswagen Passat","15 900","** Highline ** Xenon ** Alcantara ** 2 kpl. kół","190 000 km","2006","1 984 cm3","Benzyna","Lębork","(Pomorskie)",""
"Mercedes-Benz Klasa A 170","8 400","Sprowadzony,z Niemiec . Opłacony","200 000 km","2005","1 699 cm3","Benzyna","Lubicz Dolny","(Kujawsko-pomorskie)","Do negocjacji"
"Volkswagen Polo 1.6","20 000","VW Polo 1.6 TDI","196 565 km","2010","1 598 cm3","Diesel","Koleczkowo","(Pomorskie)","Do negocjacji"
"Volkswagen Passat","1 750","2.0Tdi manual 6biegów powypadkowy zobacz!","299 999 km","2007","2 000 cm3","Diesel","Zegrze","(Mazowieckie)",""
"Volkswagen Golf V","15 200","","362 000 km","2007","1 896 cm3","Diesel","Żagań","(Lubuskie)","Do negocjacji"
"Volkswagen Golf V","15 200","","362 000 km","2007","1 896 cm3","Diesel","Żagań","(Lubuskie)","Do negocjacji"
"BMW X5 3.0d","28 900","Zarejestrowana BMW X5 E70 4x4 Suv Xdrive 3.0 Diesel Automat","230 000 km","2010","2 993 cm3","Diesel","Zgierz","(Łódzkie)","Do negocjacji"
"Jeep Grand Cherokee","37 000","5.7 HEMI najbogatsza wersja OVERLAND","249 810 km","2007","5 699 cm3","Benzyna","Sierakowice","(Pomorskie)","Do negocjacji, Faktura VAT"
"Škoda Fabia 1.2","37 900","Joy 1.0 TSI 90 KM Klimatyzacja,Tempomat, ASO, gwarancja","20 466 km","2016","1 197 cm3","Benzyna","Zielona Góra","(Lubuskie)",""
"Volkswagen Touran 2.0","14 900","2006 Zarejestrowany !!! Po serwisie Dowiozę !!!","259 000 km","2006","1 968 cm3","Diesel","Przysucha","(Mazowieckie)","Do negocjacji"
"Volkswagen Tiguan 2.0","103 900","Volkswagen Tiguan 2.0 180km DSG Highline gwarancja","46 200 km","2017","1 984 cm3","Benzyna","Gdańsk","(Pomorskie)","Do negocjacji"
"Volvo V40 D2","36 500","Volvo V40 D2","139 500 km","2014","1 560 cm3","Diesel","Koło","(Wielkopolskie)","Do negocjacji"
"Ford Focus 1.5","31 857","Bezwypadkowy VAT23 Krajowy","103 342 km","2017","1 498 cm3","Diesel","Gliwice","(Śląskie)","Możliwość odliczenia VAT, Faktura VAT"
"Citroën C5","11 900","Lift,Sprowadzony,Opłacony,Navi,Ksenon,Full Wersja,CarGwarant","170 000 km","2005","1 997 cm3","Benzyna","Dolna Grupa","(Kujawsko-pomorskie)","Do negocjacji"
"Honda Civic","16 900","Honda Civic VIII UFO 5D 2008 2.2 I ctdi","251 000 km","2008","2 204 cm3","Diesel","Goleniów","(Zachodniopomorskie)","Do negocjacji"
"Škoda Kodiaq","188 900","RS 2.0 TDI 240KM |4x4 |DSG 7-biegowa |Salon PL |FV 23% |Bezwypadkowy!","26 825 km","2019","1 968 cm3","Diesel","Kalisz","(Wielkopolskie)","Faktura VAT"
"Opel Grandland X","86 900","1.2benz.130KM,ENJOY,Pakiet Kierowcy,Intellgrip,Parkuj i Jedź","5 100 km","2019","1 199 cm3","Benzyna","Katowice","(Śląskie)","Faktura VAT"
"Mercedes-Benz GLC 250","239 000","GLC250d 4MATIC Niski przebieg! Pojazd dealera ! Bogate wyposażenie!!","19 700 km","2017","2 143 cm3","Diesel","Bielsko-Biała","(Śląskie)",""
"Opel Astra III","13 900","Opel Astra GTC 2009r. bezwypadkowy 100%, Serwis do końca!","160 000 km","2009","1 364 cm3","Benzyna","Dąbrowa Górnicza","(Śląskie)","Do negocjacji"
"Audi A3","5 500","","278 000 km","1998","1 781 cm3","Benzyna","Kuślin","(Wielkopolskie)",""
"Audi A5 2.0","34 500","2013, Premium Plus 2.0 Quattro","60 347 km","2013","1 984 cm3","Benzyna","Dziekanów Polski","(Mazowieckie)",""
"Opel Astra","65 900","V,1.4benz.150KM,Autoamt,ENJOY,Pakiet Biznes,Zimowy,Nawigacja, Salon PL","32 599 km","2019","1 399 cm3","Benzyna","Warszawa","(Mazowieckie)","Faktura VAT"
"Seat Ibiza","25 999","SEAT IBIZA IV LIFT 1.0 TSI benzyna 2015 r 54 TYS climatronic PDC","53 948 km","2015","999 cm3","Benzyna","Małomice","(Lubuskie)","Do negocjacji"
"Citroën C1","19 900","*2013r*100% Oryginał*1 Właściciel*Tylko 28.000km*Serwis* Klima*LED*Alu","28 000 km","2013","1 000 cm3","Benzyna","Zgierz","(Łódzkie)","Do negocjacji"
"Ford Focus 1.6","3 200","2008 1,6 tdci 90 km uszkodzony przód","299 000 km","2008","1 560 cm3","Diesel","Kąty Wrocławskie","(Dolnośląskie)","Do negocjacji"
"Opel Astra","65 900","1.4 benz.150KM,Automat,ENJOY,Pakiet Biznes,Zimowy Nawigacja,Salon PL","33 523 km","2019","1 399 cm3","Benzyna","Warszawa","(Mazowieckie)","Faktura VAT"
"Toyota RAV4","126 750","Hybrid Premium 4x4 Style Oferta Dealera Gwarancja","51 900 km","2018","2 494 cm3","Hybryda","Modlnica","(Małopolskie)","Faktura VAT"
"Toyota Corolla","111 000","1.8 Hybrid Executive + Navi + VIP","17 051 km","2019","1 798 cm3","Hybryda","Zielona Góra","(Lubuskie)","Faktura VAT"
"Nissan Qashqai","92 900","N-MOTION, 2019r. Edycja Limitowana","3 980 km","2019","1 332 cm3","Benzyna","Dąbrowa Górnicza","(Śląskie)",""
"Peugeot 407","10 000","Zadbany Peugeot 407 z wbudowanym komputerem i dodatkami!","237 449 km","2015","1 997 cm3","Diesel","Poznań","(Wielkopolskie)","Do negocjacji"
"Toyota Avensis 2.0","55 500","2.0 DIESEL 143 KM Salon Polska Full Led Skóra Navi Kamera Asystent","28 500 km","2019","1 995 cm3","Diesel","Lipno","(Kujawsko-pomorskie)","Do negocjacji, Faktura VAT"
"Ford Focus 1.8","1 999","1.8TDDI 90KM Diesel MANUAL Klima Hak Długo opłaty Zarejestrowany","347 000 km","2002","1 753 cm3","Diesel","Poznań","(Wielkopolskie)",""
"Mitsubishi Lancer","19 900","1.8benzyna 143KM*Salon PL*Bezwypadkowy*Serwisowany","204 952 km","2010","1 798 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Mazda CX-5 2.5","147 000","Mazda CX 5 SkyPassion Gwarancja VAT 23%","20 204 km","2019","2 488 cm3","Benzyna","Olsztyn","(Warmińsko-mazurskie)","Faktura VAT"
"Opel Astra V","51 900","Krajowy, Pierwszy Właściciel, Serwisowany, 1,4T 150KM, Faktura 23%VAT","54 766 km","2017","1 399 cm3","Benzyna","Rybnik","(Śląskie)","Faktura VAT"
"BMW Seria 3","24 999","BMW 330CD 2004 pakiet M","325 000 km","2004","2 993 cm3","Diesel","Bielsko-Biała","(Śląskie)","Do negocjacji"
"Audi A3","4 999","1.9 TDi 110KM * SPORTBACK * Aluski 17 * Klimatronik * Piękny Kolor *","342 000 km","2000","1 896 cm3","Diesel","Katowice","(Śląskie)",""
